run,correct,n,median_end_to_end_latency_s,p95_end_to_end_latency_s,mean_generated_tokens,truncated
cot,99,100,0.6386578335077502,1.1249872163287364,22.07,0
hybrid,62,100,0.4368490414926782,0.7735720711410976,18.34,0
zero,60,100,0.3356810205732472,0.6246523809735663,17.86,1
shuffle,59,100,0.5739270835183561,1.1440263208467507,20.68,4
repeat,68,100,0.4962704374920577,1.0922536680474877,20.06,2
hybrid-k0,99,100,0.9079438125481829,1.1736780047533102,22.07,0
